epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,172.824,1.55937,0.87508,1.08622,0.81391,0.72857,0.74778,0.33607,2.50744,1.0814,1.07543,0.00089141,0.00089141,0.00089141
78,174.976,1.53073,0.86768,1.09065,0.84948,0.72891,0.77067,0.3633,2.46196,1.06945,1.07133,0.000884337,0.000884337,0.000884337
79,177.07,1.56485,0.86881,1.05926,0.82668,0.73888,0.75913,0.38056,2.44731,1.03592,1.05091,0.000877263,0.000877263,0.000877263
80,179.17,1.55379,0.85904,1.05936,0.85419,0.73318,0.76529,0.37721,2.39681,1.02905,1.03276,0.00087019,0.00087019,0.00087019
81,181.329,1.53946,0.85848,1.06492,0.82007,0.75767,0.77111,0.39666,2.25775,1.00446,1.01373,0.000863116,0.000863116,0.000863116
82,183.75,1.5457,0.84258,1.06125,0.83058,0.73887,0.75004,0.3261,2.56153,1.1257,1.04937,0.000856042,0.000856042,0.000856042
83,185.862,1.47743,0.85781,1.06574,0.85762,0.75664,0.78441,0.41825,2.23964,0.99798,1.00625,0.000848969,0.000848969,0.000848969
84,188.121,1.53397,0.8414,1.07025,0.84431,0.74541,0.77737,0.3754,2.25971,1.01574,0.99984,0.000841895,0.000841895,0.000841895
85,190.487,1.50101,0.81627,1.04949,0.85216,0.74966,0.77798,0.39248,2.28282,1.01044,1.01713,0.000834822,0.000834822,0.000834822
86,192.646,1.54322,0.82407,1.03603,0.85841,0.74088,0.76678,0.36326,2.3725,1.0174,1.03904,0.000827748,0.000827748,0.000827748
87,194.796,1.53224,0.84513,1.05435,0.79959,0.74728,0.74634,0.32851,2.47719,1.04497,1.03608,0.000820675,0.000820675,0.000820675
88,196.983,1.46106,0.83107,1.0448,0.81738,0.7076,0.69654,0.31562,2.7115,1.14183,1.08711,0.000813601,0.000813601,0.000813601
89,199.116,1.47098,0.82526,1.04455,0.87113,0.75529,0.77077,0.39474,2.33673,1.02582,1.02085,0.000806528,0.000806528,0.000806528
90,201.25,1.49029,0.84087,1.05344,0.81268,0.72521,0.72015,0.29656,2.57178,1.04693,1.05864,0.000799454,0.000799454,0.000799454
91,203.35,1.5122,0.80571,1.02888,0.85195,0.73731,0.74695,0.38015,2.43554,1.02225,1.05323,0.00079238,0.00079238,0.00079238
92,205.512,1.45704,0.82016,1.04312,0.82792,0.74789,0.7465,0.34729,2.53539,1.1154,1.07398,0.000785307,0.000785307,0.000785307
93,207.632,1.48236,0.83267,1.05411,0.80703,0.72284,0.70384,0.30253,2.58684,1.09436,1.06657,0.000778233,0.000778233,0.000778233
94,209.771,1.4306,0.81987,1.05565,0.85249,0.76647,0.77619,0.36107,2.4118,1.03796,1.05938,0.00077116,0.00077116,0.00077116
95,211.966,1.50806,0.82515,1.06308,0.8674,0.71915,0.73831,0.35196,2.49454,1.0875,1.05601,0.000764086,0.000764086,0.000764086
96,213.987,1.5018,0.81361,1.02204,0.82152,0.73236,0.73269,0.31471,2.56785,1.1075,1.06818,0.000757013,0.000757013,0.000757013
97,216.181,1.44746,0.81169,1.04201,0.85825,0.73765,0.77588,0.36648,2.34788,1.01732,1.03145,0.000749939,0.000749939,0.000749939
98,218.309,1.4772,0.81475,1.0495,0.82394,0.76872,0.78899,0.391,2.18519,0.98652,0.98687,0.000742866,0.000742866,0.000742866
99,220.428,1.47774,0.79928,1.05383,0.82863,0.76342,0.76901,0.33862,2.45309,1.05568,1.04581,0.000735792,0.000735792,0.000735792
100,222.606,1.41188,0.78889,1.03231,0.82679,0.76146,0.76518,0.36638,2.38136,1.02689,1.01226,0.000728719,0.000728719,0.000728719
101,224.629,1.44753,0.79227,1.03196,0.83372,0.77225,0.78634,0.37243,2.30015,1.00409,1.01671,0.000721645,0.000721645,0.000721645
102,226.841,1.41637,0.78839,1.05482,0.83967,0.75047,0.76211,0.34815,2.44973,1.04078,1.02927,0.000714571,0.000714571,0.000714571
103,229.005,1.40373,0.77294,1.02887,0.83822,0.76985,0.78118,0.39105,2.34056,1.01166,1.01379,0.000707498,0.000707498,0.000707498
104,231.287,1.38907,0.77863,1.01498,0.8456,0.7427,0.78139,0.39515,2.21765,0.99379,0.99684,0.000700424,0.000700424,0.000700424
105,233.137,1.4203,0.78556,1.01117,0.8758,0.71885,0.75287,0.36259,2.438,1.07236,1.03022,0.000693351,0.000693351,0.000693351
106,235.179,1.40661,0.78856,1.01603,0.81881,0.76482,0.76575,0.40548,2.30972,0.99196,1.02077,0.000686277,0.000686277,0.000686277
107,237.348,1.4116,0.77581,1.01844,0.81775,0.7436,0.75376,0.3348,2.50827,1.05781,1.05546,0.000679204,0.000679204,0.000679204
108,239.632,1.35193,0.75582,1.01413,0.82701,0.74747,0.75999,0.3633,2.39603,1.03338,1.04104,0.00067213,0.00067213,0.00067213
109,241.823,1.39661,0.76645,1.01074,0.82594,0.72174,0.73409,0.33038,2.54145,1.05084,1.05019,0.000665057,0.000665057,0.000665057
110,244.14,1.43751,0.80254,1.03266,0.82406,0.7476,0.77716,0.38412,2.20232,0.98426,0.98031,0.000657983,0.000657983,0.000657983
111,246.265,1.34828,0.77473,1.02027,0.79238,0.74998,0.72836,0.30418,2.56603,1.05221,1.0481,0.000650909,0.000650909,0.000650909
112,248.411,1.4326,0.77432,1.02829,0.83613,0.76682,0.77563,0.37725,2.35798,1.00334,1.02403,0.000643836,0.000643836,0.000643836
113,250.645,1.40102,0.77539,1.01268,0.81445,0.77566,0.77755,0.35835,2.32215,0.99075,0.99749,0.000636762,0.000636762,0.000636762
114,252.754,1.3687,0.76901,1.02081,0.8185,0.77407,0.7711,0.35483,2.32833,1.00368,1.01142,0.000629689,0.000629689,0.000629689
115,255.267,1.34867,0.75619,1.00714,0.80738,0.7626,0.75672,0.34459,2.45763,1.0533,1.05225,0.000622615,0.000622615,0.000622615
116,257.54,1.37765,0.73309,0.9961,0.85147,0.76157,0.78028,0.42612,2.19186,0.97783,0.98707,0.000615542,0.000615542,0.000615542
117,259.632,1.38297,0.76505,1.01094,0.84241,0.73187,0.75069,0.37599,2.40305,1.05697,1.02356,0.000608468,0.000608468,0.000608468
118,261.832,1.36957,0.7628,1.02365,0.82396,0.7614,0.76739,0.37227,2.2769,0.96506,1.00066,0.000601395,0.000601395,0.000601395
119,264.019,1.33799,0.74687,1.01051,0.85839,0.7545,0.77876,0.36931,2.36255,1.04274,1.0413,0.000594321,0.000594321,0.000594321
120,266.251,1.35286,0.75724,1.01553,0.8304,0.76379,0.76544,0.38027,2.30622,1.02415,1.0016,0.000587248,0.000587248,0.000587248
121,268.368,1.36604,0.7615,1.0138,0.82229,0.77341,0.77634,0.34849,2.32817,1.00906,1.01693,0.000580174,0.000580174,0.000580174
122,270.49,1.34782,0.74082,1.01115,0.80369,0.7384,0.725,0.30469,2.54868,1.04542,1.05914,0.0005731,0.0005731,0.0005731
123,272.535,1.35039,0.75435,1.01349,0.82078,0.76325,0.7685,0.38162,2.31117,1.00973,1.01405,0.000566027,0.000566027,0.000566027
124,274.741,1.34844,0.74496,0.99533,0.7951,0.70434,0.71298,0.34452,2.48418,1.108,1.03283,0.000558953,0.000558953,0.000558953
125,276.762,1.31002,0.72661,1.01362,0.83791,0.73734,0.75073,0.36124,2.40203,1.03547,1.02181,0.00055188,0.00055188,0.00055188
126,278.949,1.34097,0.73638,0.99608,0.81584,0.78633,0.78094,0.4151,2.19002,0.94273,0.99468,0.000544806,0.000544806,0.000544806
127,281.215,1.30714,0.73615,0.99597,0.84476,0.73719,0.73729,0.37177,2.37591,0.9914,1.0115,0.000537733,0.000537733,0.000537733
128,283.47,1.33163,0.73821,0.99412,0.89013,0.75955,0.79084,0.41731,2.18604,0.97087,1.01016,0.000530659,0.000530659,0.000530659
129,285.667,1.31926,0.74507,1.00698,0.83843,0.77415,0.78438,0.43975,2.12699,0.94381,0.98927,0.000523586,0.000523586,0.000523586
130,287.856,1.30547,0.72295,0.99501,0.85076,0.74715,0.76417,0.35637,2.39373,0.99888,1.02513,0.000516512,0.000516512,0.000516512
131,289.918,1.3742,0.74416,0.99445,0.85274,0.75764,0.78532,0.43598,2.06871,0.91355,0.97381,0.000509438,0.000509438,0.000509438
132,292.27,1.33058,0.72181,0.96452,0.86241,0.74367,0.76809,0.37623,2.32031,0.98621,1.01398,0.000502365,0.000502365,0.000502365
133,294.334,1.32189,0.72445,0.98735,0.8157,0.78584,0.78193,0.40384,2.175,0.94978,0.98365,0.000495291,0.000495291,0.000495291
134,296.638,1.3132,0.71218,0.99838,0.81968,0.76386,0.75861,0.39131,2.31719,1.00709,1.00108,0.000488218,0.000488218,0.000488218
135,298.904,1.25929,0.70587,1.00269,0.81303,0.78925,0.78759,0.43645,2.10875,0.93678,0.97564,0.000481144,0.000481144,0.000481144
136,300.963,1.31952,0.71418,0.97781,0.85625,0.75042,0.78356,0.41177,2.19138,0.95653,0.97854,0.000474071,0.000474071,0.000474071
137,302.961,1.30298,0.72196,1.00235,0.84437,0.74036,0.7659,0.35303,2.41614,1.00636,1.02241,0.000466997,0.000466997,0.000466997
138,305.175,1.35709,0.71765,1.0033,0.8282,0.76344,0.78239,0.44001,2.07832,0.91994,0.9797,0.000459924,0.000459924,0.000459924
139,307.405,1.30235,0.72737,0.991,0.82126,0.76339,0.77467,0.40854,2.25193,0.96741,1.00117,0.00045285,0.00045285,0.00045285
140,309.458,1.32412,0.70436,0.97026,0.79593,0.7935,0.77608,0.41343,2.22718,0.96221,0.99863,0.000445777,0.000445777,0.000445777
141,311.65,1.28394,0.69797,0.99157,0.81445,0.78101,0.78562,0.45444,2.08051,0.91918,0.98134,0.000438703,0.000438703,0.000438703
142,313.874,1.31309,0.72593,1.01461,0.85339,0.73191,0.75905,0.36169,2.34692,0.98026,1.0199,0.000431629,0.000431629,0.000431629
143,316.073,1.33072,0.73517,1.00554,0.84378,0.7218,0.74541,0.35306,2.34878,0.97514,1.01276,0.000424556,0.000424556,0.000424556
144,318.283,1.29575,0.70709,0.98353,0.83309,0.78484,0.79236,0.40763,2.2437,0.9734,1.01616,0.000417482,0.000417482,0.000417482
145,320.468,1.28521,0.7105,1.00883,0.81147,0.75486,0.75313,0.35888,2.41926,1.02102,1.02702,0.000410409,0.000410409,0.000410409
146,322.641,1.30667,0.70518,1.00332,0.84656,0.73844,0.76771,0.38975,2.18837,0.95084,0.98324,0.000403335,0.000403335,0.000403335
147,324.819,1.28474,0.70951,0.9971,0.85715,0.7507,0.7846,0.38951,2.24592,0.96426,1.00457,0.000396262,0.000396262,0.000396262
148,326.931,1.28422,0.70883,0.99784,0.82726,0.76212,0.76798,0.40942,2.20411,0.93882,0.99758,0.000389188,0.000389188,0.000389188
149,329.16,1.26682,0.68952,0.96882,0.79204,0.76844,0.76277,0.39262,2.24038,0.95835,0.99006,0.000382115,0.000382115,0.000382115
150,331.347,1.27535,0.70152,0.97685,0.81246,0.7935,0.79859,0.40559,2.18952,0.97126,0.99243,0.000375041,0.000375041,0.000375041
151,333.56,1.23255,0.70918,0.97069,0.82807,0.77953,0.79106,0.43559,2.09807,0.92356,0.97667,0.000367967,0.000367967,0.000367967
152,335.764,1.24542,0.67377,0.98053,0.81211,0.79728,0.77711,0.39322,2.28295,0.93147,1.00558,0.000360894,0.000360894,0.000360894
153,337.811,1.26517,0.70057,0.98731,0.82695,0.77928,0.78157,0.41452,2.21778,0.92698,0.99309,0.00035382,0.00035382,0.00035382
