epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,231.085,1.00371,0.58272,0.83315,0.87091,0.81272,0.85349,0.54516,1.63836,0.83384,0.87355,0.000700424,0.000700424,0.000700424
105,233.122,1.03547,0.59143,0.83349,0.86239,0.83797,0.85548,0.51663,1.70543,0.85199,0.87843,0.000693351,0.000693351,0.000693351
106,235.293,0.99255,0.58233,0.83791,0.89665,0.80399,0.84405,0.52891,1.67179,0.84399,0.87452,0.000686277,0.000686277,0.000686277
107,237.657,1.00682,0.58332,0.8389,0.88857,0.81232,0.84149,0.51889,1.73683,0.84558,0.87634,0.000679204,0.000679204,0.000679204
108,239.829,0.97947,0.57008,0.83397,0.90294,0.80504,0.84237,0.54192,1.6685,0.84882,0.87759,0.00067213,0.00067213,0.00067213
109,241.915,0.99601,0.5689,0.83344,0.89158,0.81261,0.84646,0.55086,1.59207,0.83814,0.86565,0.000665057,0.000665057,0.000665057
110,244.135,1.04025,0.59739,0.83932,0.88754,0.81998,0.85633,0.52356,1.72806,0.84482,0.86902,0.000657983,0.000657983,0.000657983
111,246.219,1.01773,0.59833,0.84194,0.86585,0.8431,0.85751,0.53695,1.65461,0.8395,0.87159,0.000650909,0.000650909,0.000650909
112,248.47,1.02721,0.59327,0.83719,0.86609,0.83438,0.85541,0.56131,1.61298,0.8373,0.86672,0.000643836,0.000643836,0.000643836
113,250.551,0.98325,0.57787,0.83376,0.85803,0.83887,0.84848,0.53367,1.74895,0.85967,0.87405,0.000636762,0.000636762,0.000636762
114,252.521,0.97681,0.56264,0.8353,0.89726,0.81727,0.85949,0.5757,1.5803,0.80976,0.86009,0.000629689,0.000629689,0.000629689
115,254.826,0.97466,0.56702,0.82932,0.90168,0.80553,0.85102,0.54911,1.67525,0.8244,0.86538,0.000622615,0.000622615,0.000622615
116,256.942,1.00209,0.56471,0.83278,0.88797,0.82176,0.85374,0.54867,1.64086,0.81522,0.86075,0.000615542,0.000615542,0.000615542
117,259.034,0.99092,0.57096,0.83435,0.88145,0.81754,0.84792,0.54764,1.66626,0.81989,0.87107,0.000608468,0.000608468,0.000608468
118,261.204,1.00374,0.56695,0.8391,0.89716,0.81225,0.84193,0.53906,1.72048,0.83198,0.87574,0.000601395,0.000601395,0.000601395
119,263.23,0.97374,0.56286,0.82821,0.88217,0.81588,0.84865,0.56813,1.57054,0.82148,0.85846,0.000594321,0.000594321,0.000594321
120,265.464,0.96388,0.56161,0.83244,0.88763,0.81234,0.84453,0.53821,1.64053,0.84469,0.86368,0.000587248,0.000587248,0.000587248
121,267.645,0.96724,0.55874,0.83604,0.88666,0.81633,0.83864,0.51487,1.73205,0.84876,0.87824,0.000580174,0.000580174,0.000580174
122,269.809,0.95218,0.55762,0.83658,0.87884,0.8155,0.84897,0.53411,1.71061,0.83462,0.86821,0.0005731,0.0005731,0.0005731
